6222,1615260156000,178
6223,1615260156009,265
6223,1615289796169,273
6222,1615289796240,515
6222,1615289918868,415
6222,1615290079054,315
6222,1615291582165,215
6223,1615302745790,268
6223,1615355450983,263
6223,1615356134384,268
6222,1615375056356,315
6222,1615375712701,415
6223,1615376082608,273
6223,1615377769290,278
6222,1615378212216,515
6222,1615378584101,413
6222,1615378701926,313
6222,1615379385666,213
6222,1615381482279,314
6223,1615387492110,266
6222,1615387492200,212
6223,1615440670140,259
6223,1615441795838,264
6223,1615459622093,271
6222,1615459622158,747
6222,1615459910318,647
6222,1615460141709,547
6222,1615460452406,447
6222,1615461282329,347
6223,1615461671450,266
6222,1615462035057,447
6222,1615462062266,560
6222,1615462087876,663
6223,1615462152350,271
6222,1615462180132,763
6223,1615462453245,276
6222,1615463037410,662
6222,1615463215717,562
6223,1615463374056,271
6222,1615463410913,462
6223,1615465730103,266
6222,1615466616743,362
6222,1615473073528,262
6223,1615531479034,260
6223,1615532633145,265
6223,1615890964844,250
6223,1615891246331,255
6223,1615891467795,260
6223,1615891781857,265
6223,1615895060787,270
6223,1615950702522,265
6223,1615958502648,270
6223,1616031374713,263
6223,1616032013661,268
6223,1616148035619,273
6223,1616176240878,268
6223,1616244575253,273
6223,1616292201053,261
6223,1616292987171,266
6222,1616321447444,362
6222,1616321626953,462
6223,1616321789896,271
6222,1616322042471,562
6223,1616322501490,276
6222,1616322536834,663
6222,1616323011481,563
6222,1616323376220,463
6222,1616324041961,363
6222,1616326858321,263
6223,1616328150005,271
6223,1616330210460,266
6223,1616331204919,271
6222,1616340652334,429
6223,1616340652341,264
6222,1616348018799,329
6223,1616425705335,269
6223,1616468751283,262
6222,1616505813687,429
6223,1616506052353,267
6222,1616506207714,529
6223,1616506569004,272
6222,1616506723299,632
6222,1616507140763,532
6222,1616507304116,432
6222,1616507707391,332
6223,1616512086510,267
6223,1616563746331,260
6223,1616564730368,265
6223,1616590966138,270
6223,1616592004088,275
6223,1616598219050,268
6222,1616598317100,432
